source,relation,target
D_3609723c,HAS_RISK,R_c7832e10
D_3609723c,HAS_RISK,R_fcfcdd8b
D_3609723c,HAS_RISK,R_29db6afd
D_3609723c,HAS_RISK,R_231d428b
D_3609723c,HAS_RISK,R_25e681b5
D_3609723c,PREVENTED_BY,P_b717beed
D_3609723c,PREVENTED_BY,P_5860e978
D_3609723c,PREVENTED_BY,P_f6b5b4be
D_3609723c,PREVENTED_BY,P_fcc82615
D_3609723c,PREVENTED_BY,P_1dde498e
D_3609723c,PREVENTED_BY,P_0e26f39d
D_3609723c,PREVENTED_BY,P_966cce95
D_3609723c,PREVENTED_BY,P_77b7ff3f
D_3609723c,PREVENTED_BY,P_6b1a0624
D_3609723c,PREVENTED_BY,P_5190ac28
D_5253c240,HAS_SYMPTOM,S_f95e7ba6
D_5253c240,HAS_CAUSE,C_f8b61de6
D_5253c240,HAS_CAUSE,C_e2691603
D_5253c240,TREATED_BY,T_5484fa0e
D_5253c240,TREATED_BY,T_2ff1e0a0
D_5253c240,TREATED_BY,T_86125c6a
D_5253c240,DIAGNOSED_BY,T_55d1df79
D_5253c240,HAS_COMPLICATION,C_0ad54a40
D_f363c527,HAS_SYMPTOM,S_f0689b5e
D_f363c527,HAS_CAUSE,C_e9284dd3
D_f363c527,HAS_CAUSE,C_45160fcd
D_f363c527,HAS_CAUSE,C_650d440f
D_f363c527,HAS_CAUSE,C_9c65e6b7
D_f363c527,HAS_CAUSE,C_4aaf66fc
D_f363c527,TREATED_BY,T_2f663aa2
D_f363c527,TREATED_BY,T_9c22ce9a
D_f363c527,TREATED_BY,T_dc579f1c
D_f363c527,TREATED_BY,T_e32da22e
D_f363c527,TREATED_BY,T_c5ee2dca
D_f363c527,TREATED_BY,T_70811f9a
D_f363c527,TREATED_BY,T_c696ff6c
D_f363c527,TREATED_BY,T_1b3e8b99
D_f363c527,TREATED_BY,T_c9b17c1d
D_f363c527,TREATED_BY,T_29916407
D_f363c527,TREATED_BY,T_c57ac313
D_f363c527,DIAGNOSED_BY,T_c75495b4
D_f363c527,DIAGNOSED_BY,T_d95e7ed2
D_f363c527,DIAGNOSED_BY,T_b02b4e42
D_f363c527,DIAGNOSED_BY,T_69ac1d1b
D_f363c527,DIAGNOSED_BY,T_c9defdb0
D_f363c527,DIAGNOSED_BY,T_185dc33a
D_f363c527,PREVENTED_BY,P_d0f0d647
D_f363c527,PREVENTED_BY,P_3476b5fe
D_e045ca4d,HAS_SYMPTOM,S_4c9a807f
D_0f2e047d,HAS_SYMPTOM,S_07d88b4c
D_0f2e047d,HAS_SYMPTOM,S_c9c90188
D_0f2e047d,HAS_SYMPTOM,S_462442a3
D_0f2e047d,HAS_SYMPTOM,S_23ceccbf
D_0f2e047d,HAS_SYMPTOM,S_75a2c3a6
D_0f2e047d,HAS_CAUSE,C_7aa83422
D_0f2e047d,HAS_CAUSE,C_4ea65c9a
D_0f2e047d,HAS_CAUSE,C_095502aa
D_0f2e047d,HAS_CAUSE,C_f5713d76
D_0f2e047d,HAS_CAUSE,C_897ca345
D_0f2e047d,HAS_CAUSE,C_abdd1f96
D_0f2e047d,HAS_CAUSE,C_12a4f8f3
D_0f2e047d,HAS_CAUSE,C_d4097984
D_0f2e047d,HAS_CAUSE,C_23775a08
D_0f2e047d,HAS_CAUSE,C_f802c42d
D_0f2e047d,HAS_CAUSE,C_05b00c77
D_0f2e047d,HAS_CAUSE,C_475662d9
D_0f2e047d,HAS_CAUSE,C_2dd2f53e
D_0f2e047d,HAS_CAUSE,C_6e677440
D_0f2e047d,TREATED_BY,T_b6eda3de
D_0f2e047d,TREATED_BY,T_8d53a93a
D_0f2e047d,TREATED_BY,T_3a6b83ad
D_0f2e047d,DIAGNOSED_BY,T_8392ad55
D_0f2e047d,DIAGNOSED_BY,T_7901ca1b
D_0f2e047d,DIAGNOSED_BY,T_9ec63720
D_0f2e047d,HAS_COMPLICATION,C_9a177705
D_0f2e047d,PREVENTED_BY,P_fa61ff6c
D_0f2e047d,PREVENTED_BY,P_b532626f
D_4a83cc80,HAS_CAUSE,C_8cf7ca78
D_4a83cc80,HAS_CAUSE,C_bf29254a
D_4a83cc80,HAS_CAUSE,C_6baf08bb
D_4a83cc80,PREVENTED_BY,P_893d300a
D_954997f2,HAS_SYMPTOM,S_edb045be
D_954997f2,HAS_SYMPTOM,S_9299c4ba
D_954997f2,HAS_CAUSE,C_43232f75
D_954997f2,HAS_CAUSE,C_4a2bd633
D_954997f2,HAS_CAUSE,C_d0f4b0e7
D_954997f2,HAS_CAUSE,C_02a0ccf2
D_954997f2,HAS_CAUSE,C_b8dc4cfb
D_954997f2,HAS_CAUSE,C_3a34489a
D_954997f2,HAS_CAUSE,C_e6d1a0dd
D_954997f2,HAS_CAUSE,C_3f2c95a1
D_954997f2,HAS_CAUSE,C_aa7bdd22
D_954997f2,HAS_CAUSE,C_386c4d99
D_954997f2,HAS_CAUSE,C_4e023f52
D_954997f2,HAS_CAUSE,C_d6bd973c
D_954997f2,HAS_CAUSE,C_62e41a94
D_954997f2,HAS_CAUSE,C_2fce12d9
D_954997f2,HAS_RISK,R_2c843daf
D_954997f2,HAS_RISK,R_7d0afc3c
D_954997f2,HAS_RISK,R_60aa3d6a
D_954997f2,HAS_RISK,R_ce0ee754
D_954997f2,HAS_RISK,R_0702ecdf
D_954997f2,HAS_RISK,R_105c6ffb
D_954997f2,HAS_RISK,R_042e75a5
D_954997f2,HAS_RISK,R_f152080b
D_954997f2,HAS_RISK,R_4d12845a
D_954997f2,TREATED_BY,T_3f5ca0c3
D_954997f2,TREATED_BY,T_9f4bfc48
D_954997f2,TREATED_BY,T_f0ce9cfa
D_954997f2,TREATED_BY,T_bffcbbe4
D_954997f2,TREATED_BY,T_17c668f3
D_954997f2,TREATED_BY,T_19210978
D_954997f2,TREATED_BY,T_576d4779
D_954997f2,TREATED_BY,T_249209b7
D_954997f2,TREATED_BY,T_1215de47
D_954997f2,TREATED_BY,T_02a74e44
D_954997f2,TREATED_BY,T_86fa7d48
D_954997f2,TREATED_BY,T_015f4126
D_954997f2,TREATED_BY,T_4efb16a2
D_954997f2,TREATED_BY,T_1e6c63b9
D_954997f2,TREATED_BY,T_4e697877
D_954997f2,TREATED_BY,T_d70142f3
D_954997f2,TREATED_BY,T_7dce5d23
D_954997f2,TREATED_BY,T_16975380
D_954997f2,DIAGNOSED_BY,T_5e0540ca
D_954997f2,DIAGNOSED_BY,T_67ba143e
D_4e5da28d,HAS_SYMPTOM,S_a09c1ab8
D_4e5da28d,HAS_SYMPTOM,S_bf0cd452
D_4e5da28d,HAS_CAUSE,C_6d5877c6
D_4e5da28d,HAS_CAUSE,C_19802f7a
D_4e5da28d,TREATED_BY,T_d34f053b
D_4e5da28d,TREATED_BY,T_40dd1db4
D_4e5da28d,TREATED_BY,T_9af417d6
D_4e5da28d,TREATED_BY,T_1fbd62c4
D_4e5da28d,TREATED_BY,T_2d9ac08c
D_4e5da28d,TREATED_BY,T_57696db0
D_4e5da28d,TREATED_BY,T_73234edc
D_4e5da28d,TREATED_BY,T_59bc054a
D_4e5da28d,TREATED_BY,T_e335fe23
D_6e6f76bc,HAS_SYMPTOM,S_d48fac3a
D_6e6f76bc,HAS_SYMPTOM,S_d9fe6d49
D_6e6f76bc,HAS_SYMPTOM,S_da8c14b0
D_6e6f76bc,HAS_SYMPTOM,S_11998e0d
D_6e6f76bc,HAS_SYMPTOM,S_313894a0
D_6e6f76bc,HAS_SYMPTOM,S_15569aa2
D_6e6f76bc,HAS_SYMPTOM,S_6c4b2c45
D_6e6f76bc,HAS_SYMPTOM,S_c1308928
D_6e6f76bc,HAS_SYMPTOM,S_caf7c1a8
D_6e6f76bc,HAS_SYMPTOM,S_66934ded
D_6e6f76bc,HAS_SYMPTOM,S_d1b83c19
D_6e6f76bc,HAS_CAUSE,C_47b17665
D_6e6f76bc,HAS_CAUSE,C_349b9255
D_6e6f76bc,HAS_CAUSE,C_d2db564d
D_6e6f76bc,HAS_CAUSE,C_611d089a
D_6e6f76bc,HAS_RISK,R_0f80fc92
D_d6f3122a,HAS_SYMPTOM,S_96f06a6c
D_d6f3122a,HAS_SYMPTOM,S_bb96601c
D_d6f3122a,HAS_CAUSE,C_e16584fc
